price,CC1,HP,SEATER,DOOR,CC,,BRAND
,1400,150,0,5,1400,,VOLKSWAGEN
,1400,0,0,5,1400,,VOLKSWAGEN
,1968,0,7,5,2000,,VOLKSWAGEN
,2000,0,0,5,2000,,VOLKWAGEN
,3000,240,0,5,3000,,VOLKWAGEN
,1500,107,0,5,1500,,WULING
,1500,107,0,5,1500,,WULING
,1500,107,0,5,1500,,WULING
,1500,107,0,5,1500,,WULING
,1500,129,0,5,1500,,WULING
,1500,129,0,5,1500,,WULING
,1500,129,0,5,1500,,WULING
,1500,129,0,5,1500,,WULING
,1200,107,0,5,1200,,WULING
,1200,107,0,5,1200,,WULING
,1500,0,0,5,1500,,WULING
,1500,0,0,5,1500,,WULING
,1500,0,0,5,1500,,WULING
,1500,0,0,5,1500,,WULING
,1500,0,0,5,1500,,WULING
