,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BRAND,TYPE MODEL,CC,TRANS,FUEL,TANK CAPT,GVW (Kg),GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,ORIGIN COUNTRY
,8C76 320D,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA
,8A96 330I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,5,4,CKD,INA
,2U72 M2 Competition,2979,AT,G,52,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
,1J32 M2 CS,2979,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
,12AL M235I XDRIVE,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
,4V32 430I,1997,AT,G,-,2070,-,-,-,-,-,-,4X2,-,-,2,4,CBU,Germany
,HF32 Z4 SDRIVE30I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
,6K32 320I,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany
,JA52 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
,JA16 520I,2000,AT,G,60,-,-,-,-,-,-,-,4X2,FR,-,4,4,-,-
,JA56 530i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
,JA92 530E IPERFORMANCE,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
,12AG 530E,1998,MT,G,-,-,-,-,-,-,-,-,4X2,-,0,0,4,CBU,Germany
,JR16 520I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,0,4,CKD,INA
,JV22 630I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
,5R12 330I,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
